disno,dyindex,statea,namea,stateb,nameb,strtday,strtmnth,strtyr,year,endday,endmnth,endyear,outcome,settlmnt,fatlev,highact,hihost,recip,noinit,notarg,sideaa,revstata,revtypea,fatleva,highmcaa,hihosta,orignata,sideab,revstatb,revtypeb,fatlevb,highmcab,hihostb,orignatb,rolea,roleb,war,durindx,duration,cumdurat,mid5hiact,mid5hiacta,mid5hiactb,ongo2014,new,change,changetype_1,changetype_2
2,2.001,2,USA,200,UKG,1,7,1902,1902,24,1,1903,Ongoing,Ongoing,None,Show of troops,3,0,1,1,1,1,1,None,Show of troops,3,1,0,1,1,None,No military action,1,1,1,3,0,1,184,184,Show of Force,Show of Force,None,No,No,No,None,None
2,2.001,2,USA,200,UKG,1,7,1902,1903,24,1,1903,Compromise,Negotiated,None,Show of troops,3,0,1,1,1,1,1,None,Show of troops,3,1,0,1,1,None,No military action,1,1,1,3,0,2,25,209,Show of Force,Show of Force,None,No,No,No,None,None
2,2.001,200,UKG,2,USA,1,7,1902,1902,24,1,1903,Ongoing,Ongoing,None,Show of troops,3,0,1,1,0,1,1,None,No military action,1,1,1,1,1,None,Show of troops,3,1,3,1,0,1,184,184,Show of Force,None,Show of Force,No,No,No,None,None
2,2.001,200,UKG,2,USA,1,7,1902,1903,24,1,1903,Compromise,Negotiated,None,Show of troops,3,0,1,1,0,1,1,None,No military action,1,1,1,1,1,None,Show of troops,3,1,3,1,0,2,25,209,Show of Force,None,Show of Force,No,No,No,None,None
3,3.001,300,AUH,345,YUG,2,5,1913,1913,25,10,1913,Yield B,None,None,Alert,3,0,1,1,1,1,2,None,Alert,3,1,0,0,0,None,No military action,1,1,1,3,0,1,177,177,Alert,Alert,None,No,No,No,None,None
3,3.001,345,YUG,300,AUH,2,5,1913,1913,25,10,1913,Yield A,None,None,Alert,3,0,1,1,0,0,0,None,No military action,1,1,1,1,2,None,Alert,3,1,3,1,0,1,177,177,Alert,None,Alert,No,No,No,None,None
4,4.001,200,UKG,339,ALB,15,5,1946,1946,13,11,1946,Statlemate,None,26-100,Raid,4,0,1,1,0,0,0,26-100,Show of Ships,3,1,1,0,0,None,Raid,4,1,3,1,0,1,183,183,Attack,Show of Force,Attack,No,No,No,None,None
4,4.001,339,ALB,200,UKG,15,5,1946,1946,13,11,1946,Statlemate,None,26-100,Raid,4,0,1,1,1,0,0,None,Raid,4,1,0,0,0,26-100,Show of Ships,3,1,1,3,0,1,183,183,Attack,Attack,Show of Force,No,No,No,None,None
7,7.001,200,UKG,651,EGY,13,10,1951,1951,26,1,1952,Ongoing,Ongoing,None,Clash,4,1,1,1,1,0,0,None,Clash,4,1,0,1,2,None,Clash,4,1,1,3,0,1,80,80,Clash,Clash,Clash,No,No,No,None,None
7,7.001,200,UKG,651,EGY,13,10,1951,1952,26,1,1952,Win A,None,26-100,Clash,4,1,1,1,1,0,0,0-25,Clash,4,1,0,1,2,26-100,Clash,4,1,1,3,0,2,27,107,Clash,Clash,Clash,No,No,No,None,None
7,7.001,651,EGY,200,UKG,13,10,1951,1951,26,1,1952,Ongoing,Ongoing,None,Clash,4,1,1,1,0,1,2,None,Clash,4,1,1,0,0,None,Clash,4,1,3,1,0,1,80,80,Clash,Clash,Clash,No,No,No,None,None
7,7.001,651,EGY,200,UKG,13,10,1951,1952,26,1,1952,Win B,None,26-100,Clash,4,1,1,1,0,1,2,26-100,Clash,4,1,1,0,0,0-25,Clash,4,1,3,1,0,2,27,107,Clash,Clash,Clash,No,No,No,None,None
8,8.001,200,UKG,630,IRN,1,7,1856,1856,5,4,1857,Ongoing,Ongoing,None,Begin Interstate War,5,1,1,1,1,1,2,None,Begin Interstate War,5,1,0,0,0,None,Begin Interstate War,5,1,1,3,1,1,184,184,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
8,8.001,200,UKG,630,IRN,1,7,1856,1857,5,4,1857,Win A,imposed,"1,000+",Begin Interstate War,5,1,1,1,1,1,2,"1,000+",Begin Interstate War,5,1,0,0,0,"1,000+",Begin Interstate War,5,1,1,3,1,2,96,280,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
8,8.001,630,IRN,200,UKG,1,7,1856,1856,5,4,1857,Ongoing,Ongoing,None,Begin Interstate War,5,1,1,1,0,0,0,None,Begin Interstate War,5,1,1,1,2,None,Begin Interstate War,5,1,3,1,1,1,184,184,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
8,8.001,630,IRN,200,UKG,1,7,1856,1857,5,4,1857,Win B,imposed,"1,000+",Begin Interstate War,5,1,1,1,0,0,0,"1,000+",Begin Interstate War,5,1,1,1,2,"1,000+",Begin Interstate War,5,1,3,1,1,2,96,280,Begin interstate war,Begin interstate war,Begin interstate war,No,No,Yes,None,None
9,9.001,200,UKG,235,POR,29,12,1889,1889,10,1,1890,Ongoing,Ongoing,None,Show of Ships,3,0,1,1,1,1,1,None,Show of Ships,3,1,0,0,0,None,No military action,1,1,1,3,0,1,3,3,Show of Force,Show of Force,None,No,No,No,None,None
9,9.001,200,UKG,235,POR,29,12,1889,1890,10,1,1890,Compromise,Negotiated,None,Show of Ships,3,0,1,1,1,1,1,None,Show of Ships,3,1,0,0,0,None,No military action,1,1,1,3,0,2,11,14,Show of Force,Show of Force,None,No,No,No,None,None
9,9.001,235,POR,200,UKG,29,12,1889,1889,10,1,1890,Ongoing,Ongoing,None,Show of Ships,3,0,1,1,0,0,0,None,No military action,1,1,1,1,1,None,Show of Ships,3,1,3,1,0,1,3,3,Show of Force,None,Show of Force,No,No,No,None,None
9,9.001,235,POR,200,UKG,29,12,1889,1890,10,1,1890,Compromise,Negotiated,None,Show of Ships,3,0,1,1,0,0,0,None,No military action,1,1,1,1,1,None,Show of Ships,3,1,3,1,0,2,11,14,Show of Force,None,Show of Force,No,No,No,None,None
11,11.001,255,GMY,305,AUS,11,3,1938,1938,12,3,1938,Yield B,Negotiated,None,Occupation of territory,4,0,1,1,1,1,1,None,Occupation of territory,4,1,0,0,0,None,No military action,1,1,1,3,0,1,2,2,Occupation of territory,Occupation of territory,None,No,No,No,None,None
11,11.001,305,AUS,255,GMY,11,3,1938,1938,12,3,1938,Yield A,Negotiated,None,Occupation of territory,4,0,1,1,0,0,0,None,No military action,1,1,1,1,1,None,Occupation of territory,4,1,3,1,0,1,2,2,Occupation of territory,None,Occupation of territory,No,No,No,None,None
12,12.001,200,UKG,255,GMY,26,8,1938,1938,30,9,1938,Yield A,Negotiated,None,Raid,4,0,1,5,0,0,0,None,Show of Ships,3,0,1,1,1,None,Raid,4,1,4,1,0,1,36,36,Attack,Show of Force,Attack,No,No,No,None,None
12,12.001,255,GMY,200,UKG,26,8,1938,1938,30,9,1938,Yield B,Negotiated,None,Raid,4,0,1,5,1,1,1,None,Raid,4,1,0,0,0,None,Show of Ships,3,0,1,4,0,1,36,36,Attack,Attack,Show of Force,No,No,No,None,None
12,12.002,211,BEL,255,GMY,7,9,1938,1938,30,9,1938,Yield A,Negotiated,None,Raid,4,0,1,5,0,0,0,None,Show of troops,3,0,1,1,1,None,Raid,4,1,4,1,0,1,24,24,Attack,Show of Force,Attack,No,No,No,None,None
12,12.002,255,GMY,211,BEL,7,9,1938,1938,30,9,1938,Yield B,Negotiated,None,Raid,4,0,1,5,1,1,1,None,Raid,4,1,0,0,0,None,Show of troops,3,0,1,4,0,1,24,24,Attack,Attack,Show of Force,No,No,No,None,None
12,12.003,220,FRN,255,GMY,7,9,1938,1938,30,9,1938,Yield A,Negotiated,None,Raid,4,0,1,5,0,0,0,None,Mobilization,3,0,1,1,1,None,Raid,4,1,4,1,0,1,24,24,Attack,Mobilization,Attack,No,No,No,None,None
12,12.003,255,GMY,220,FRN,7,9,1938,1938,30,9,1938,Yield B,Negotiated,None,Raid,4,0,1,5,1,1,1,None,Raid,4,1,0,0,0,None,Mobilization,3,0,1,4,0,1,24,24,Attack,Attack,Mobilization,No,No,No,None,None
12,12.004,255,GMY,315,CZE,11,3,1938,1938,30,9,1938,Yield B,Negotiated,None,Raid,4,1,1,5,1,1,1,None,Raid,4,1,0,0,0,None,Raid,4,1,1,3,0,1,204,204,Attack,Attack,Attack,No,No,No,None,None
12,12.004,315,CZE,255,GMY,11,3,1938,1938,30,9,1938,Yield A,Negotiated,None,Raid,4,1,1,5,0,0,0,None,Raid,4,1,1,1,1,None,Raid,4,1,3,1,0,1,204,204,Attack,Attack,Attack,No,No,No,None,None
12,12.005,255,GMY,365,RUS,16,9,1938,1938,30,9,1938,Yield B,Negotiated,None,Raid,4,0,1,5,1,1,1,None,Raid,4,1,0,0,0,None,Show of troops,3,0,1,4,0,1,15,15,Attack,Attack,Show of Force,No,No,No,None,None
12,12.005,365,RUS,255,GMY,16,9,1938,1938,30,9,1938,Yield A,Negotiated,None,Raid,4,0,1,5,0,0,0,None,Show of troops,3,0,1,1,1,None,Raid,4,1,4,1,0,1,15,15,Attack,Show of Force,Attack,No,No,No,None,None
13,13.001,2,USA,740,JPN,20,7,1863,1863,20,7,1863,Win A,imposed,None,Threat to use force,2,0,3,1,1,0,0,None,Threat to use force,2,0,0,0,0,None,No military action,1,1,2,3,0,1,1,1,Threat to use force,Threat to use force,None,No,No,No,None,None
